"","DATE","Jan.CPI","state_code","Change.in.Total.Homelessness..2021.2022","Change.in.Total.Homelessness..2020.2022","Change.in.Total.Homelessness..2019.2022","Change.in.Total.Homelessness..2018.2022","Change.in.Total.Homelessness..2017.2022","Change.in.Total.Homelessness..2016.2022","Change.in.Total.Homelessness..2015.2022","Change.in.Total.Homelessness..2014.2022","Change.in.Total.Homelessness..2013.2022","Change.in.Total.Homelessness..2012.2022","state","property_type","median_sale_price","Overall.Homeless..2012","Overall.Homeless..2013","Overall.Homeless..2014","Overall.Homeless...Under.18..2014","Overall.Homeless...Age.18.to.24..2014","Overall.Homeless...Over.24..2014","Overall.Homeless..2015","Overall.Homeless...Under.18..2015","Overall.Homeless...Age.18.to.24..2015","Overall.Homeless...Over.24..2015","Overall.Homeless..2016","Overall.Homeless...Under.18..2016","Overall.Homeless...Age.18.to.24..2016","Overall.Homeless...Over.24..2016","Overall.Homeless..2017","Overall.Homeless...Under.18..2017","Overall.Homeless...Age.18.to.24..2017","Overall.Homeless...Over.24..2017","Overall.Homeless..2018","Overall.Homeless...Under.18..2018","Overall.Homeless...Age.18.to.24..2018","Overall.Homeless...Over.24..2018","Overall.Homeless..2019","Overall.Homeless...Under.18..2019","Overall.Homeless...Age.18.to.24..2019","Overall.Homeless...Over.24..2019","Overall.Homeless..2020","Overall.Homeless...Under.18..2020","Overall.Homeless...Age.18.to.24..2020","Overall.Homeless...Over.24..2020","Overall.Homeless..2021","Overall.Homeless...Under.18..2021","Overall.Homeless...Age.18.to.24..2021","Overall.Homeless...Over.24..2021","Overall.Homeless..2022","Overall.Homeless...Under.18..2022","Overall.Homeless...Age.18.to.24..2022","Overall.Homeless...Over.24..2022","state.income","homelessness_final_change","inflation_adjusted_price","region"
"21","2012",226.665,"CA","198.5%","6.2%","13.4%","32.0%","30.4%","45.2%","48.2%","50.5%","44.7%","42.8%","California","Multi-Family (2-4 Unit)",319400,"120,098","118,552","113,952","15,057","13,853","85,042","115,738","13,657","11,645","90,436","118,142","12,828","12,160","93,154","131,532","14,207","13,276","104,049","129,972","13,936","12,678","103,358","151,278","14,305","12,673","124,300","161,548","16,141","13,391","132,016","57,468","12,424","4,288","39,950","171,521","15,439","10,896","145,186",70800,"increased",396174,"West"
"22","2012",226.665,"CA","198.5%","6.2%","13.4%","32.0%","30.4%","45.2%","48.2%","50.5%","44.7%","42.8%","California","Single Family Residential",292700,"120,098","118,552","113,952","15,057","13,853","85,042","115,738","13,657","11,645","90,436","118,142","12,828","12,160","93,154","131,532","14,207","13,276","104,049","129,972","13,936","12,678","103,358","151,278","14,305","12,673","124,300","161,548","16,141","13,391","132,016","57,468","12,424","4,288","39,950","171,521","15,439","10,896","145,186",70800,"increased",363056,"West"
"23","2012",226.665,"CA","198.5%","6.2%","13.4%","32.0%","30.4%","45.2%","48.2%","50.5%","44.7%","42.8%","California","Townhouse",292300,"120,098","118,552","113,952","15,057","13,853","85,042","115,738","13,657","11,645","90,436","118,142","12,828","12,160","93,154","131,532","14,207","13,276","104,049","129,972","13,936","12,678","103,358","151,278","14,305","12,673","124,300","161,548","16,141","13,391","132,016","57,468","12,424","4,288","39,950","171,521","15,439","10,896","145,186",70800,"increased",362560,"West"
"24","2012",226.665,"CO","21.7%","5.6%","8.1%","-4.2%","-5.0%","-1.5%","4.5%","3.7%","6.6%","-38.0%","Colorado","All Residential",226300,"16,768","9,754","10,028","2,835","1,004","6,189","9,953","2,528","808","6,617","10,550","2,327","983","7,240","10,940","2,164","913","7,863","10,857","1,887","808","8,162","9,619","1,458","685","7,476","9,846","1,364","734","7,748","8,544","1,545","457","6,542","10,397","1,339","575","8,483",71090,"decreased",280695,"West"
"25","2012",226.665,"CO","21.7%","5.6%","8.1%","-4.2%","-5.0%","-1.5%","4.5%","3.7%","6.6%","-38.0%","Colorado","Condo/Co-op",158700,"16,768","9,754","10,028","2,835","1,004","6,189","9,953","2,528","808","6,617","10,550","2,327","983","7,240","10,940","2,164","913","7,863","10,857","1,887","808","8,162","9,619","1,458","685","7,476","9,846","1,364","734","7,748","8,544","1,545","457","6,542","10,397","1,339","575","8,483",71090,"decreased",196846,"West"
"26","2012",226.665,"CO","21.7%","5.6%","8.1%","-4.2%","-5.0%","-1.5%","4.5%","3.7%","6.6%","-38.0%","Colorado","Multi-Family (2-4 Unit)",384200,"16,768","9,754","10,028","2,835","1,004","6,189","9,953","2,528","808","6,617","10,550","2,327","983","7,240","10,940","2,164","913","7,863","10,857","1,887","808","8,162","9,619","1,458","685","7,476","9,846","1,364","734","7,748","8,544","1,545","457","6,542","10,397","1,339","575","8,483",71090,"decreased",476549,"West"
"27","2012",226.665,"CO","21.7%","5.6%","8.1%","-4.2%","-5.0%","-1.5%","4.5%","3.7%","6.6%","-38.0%","Colorado","Single Family Residential",242300,"16,768","9,754","10,028","2,835","1,004","6,189","9,953","2,528","808","6,617","10,550","2,327","983","7,240","10,940","2,164","913","7,863","10,857","1,887","808","8,162","9,619","1,458","685","7,476","9,846","1,364","734","7,748","8,544","1,545","457","6,542","10,397","1,339","575","8,483",71090,"decreased",300541,"West"
"28","2012",226.665,"CO","21.7%","5.6%","8.1%","-4.2%","-5.0%","-1.5%","4.5%","3.7%","6.6%","-38.0%","Colorado","Townhouse",249600,"16,768","9,754","10,028","2,835","1,004","6,189","9,953","2,528","808","6,617","10,550","2,327","983","7,240","10,940","2,164","913","7,863","10,857","1,887","808","8,162","9,619","1,458","685","7,476","9,846","1,364","734","7,748","8,544","1,545","457","6,542","10,397","1,339","575","8,483",71090,"decreased",309596,"West"
"29","2012",226.665,"CT","13.0%","0.9%","-3.4%","-26.3%","-13.5%","-24.9%","-27.6%","-34.2%","-34.1%","-30.4%","Connecticut","All Residential",174900,"4,209","4,448","4,450","836","308","3,306","4,047","827","234","2,986","3,902","831","203","2,868","3,388","736","259","2,393","3,976","967","254","2,755","3,033","588","272","2,173","2,905","585","208","2,112","2,593","385","184","2,024","2,930","560","205","2,165",79770,"decreased",216940,"Northeast"
"30","2012",226.665,"CT","13.0%","0.9%","-3.4%","-26.3%","-13.5%","-24.9%","-27.6%","-34.2%","-34.1%","-30.4%","Connecticut","Condo/Co-op",130500,"4,209","4,448","4,450","836","308","3,306","4,047","827","234","2,986","3,902","831","203","2,868","3,388","736","259","2,393","3,976","967","254","2,755","3,033","588","272","2,173","2,905","585","208","2,112","2,593","385","184","2,024","2,930","560","205","2,165",79770,"decreased",161868,"Northeast"
"31","2012",226.665,"CT","13.0%","0.9%","-3.4%","-26.3%","-13.5%","-24.9%","-27.6%","-34.2%","-34.1%","-30.4%","Connecticut","Multi-Family (2-4 Unit)",118300,"4,209","4,448","4,450","836","308","3,306","4,047","827","234","2,986","3,902","831","203","2,868","3,388","736","259","2,393","3,976","967","254","2,755","3,033","588","272","2,173","2,905","585","208","2,112","2,593","385","184","2,024","2,930","560","205","2,165",79770,"decreased",146736,"Northeast"
"32","2012",226.665,"CT","13.0%","0.9%","-3.4%","-26.3%","-13.5%","-24.9%","-27.6%","-34.2%","-34.1%","-30.4%","Connecticut","Single Family Residential",195100,"4,209","4,448","4,450","836","308","3,306","4,047","827","234","2,986","3,902","831","203","2,868","3,388","736","259","2,393","3,976","967","254","2,755","3,033","588","272","2,173","2,905","585","208","2,112","2,593","385","184","2,024","2,930","560","205","2,165",79770,"decreased",241996,"Northeast"
